title;url;owner;timezone
contoso - project1;https://contoso.sharepoint.com/sites/contoso-project1;user@contoso.com;4
contoso - project2;https://contoso.sharepoint.com/sites/contoso-project2;user@contoso.com;4
contoso - project3;https://contoso.sharepoint.com/sites/contoso-project3;user@contoso.com;4
contoso - project4;https://contoso.sharepoint.com/sites/contoso-project4;user@contoso.com;4
contoso - project5;https://contoso.sharepoint.com/sites/contoso-project5;user@contoso.com;4
contoso - project6;https://contoso.sharepoint.com/sites/contoso-project6;user@contoso.com;4
contoso - project7;https://contoso.sharepoint.com/sites/contoso-project7;user@contoso.com;4
contoso - project8;https://contoso.sharepoint.com/sites/contoso-project8;user@contoso.com;4
contoso - project9;https://contoso.sharepoint.com/sites/contoso-project9;user@contoso.com;4
contoso - project10;https://contoso.sharepoint.com/sites/contoso-project10;user@contoso.com;4
